epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1664.29,3.54375,15.6579,1.01112,0.05985,0.02386,0.00674,0.00155,3.65544,4.47403,1.46766,0.0700213,0.00333096,0.00333096
2,3271.83,3.47,3.36292,1.00367,0.00748,0.0879,0.00946,0.00227,3.74196,5.17101,1.05928,0.0396914,0.00633441,0.00633441
3,4919.66,3.37506,3.23707,0.98966,0.03683,0.10391,0.01251,0.00294,3.4155,3.2564,1.42315,0.00903156,0.00900787,0.00900787
4,6587.05,3.31103,3.10918,0.98191,0.04919,0.10375,0.01666,0.00412,3.51307,3.69936,2.64241,0.008515,0.008515,0.008515
5,8222.34,3.25442,2.9858,0.97048,0.04969,0.15046,0.02336,0.00647,3.31103,3.08243,1.42926,0.00802,0.00802,0.00802
6,9881.84,3.21527,2.92794,0.9672,0.06697,0.1336,0.02788,0.00654,3.63714,2.93044,3.17085,0.007525,0.007525,0.007525
7,11542.7,3.19456,2.89384,0.96284,0.07339,0.12728,0.03323,0.00943,3.25581,2.85572,2.2371,0.00703,0.00703,0.00703
8,13205.5,3.15167,2.84759,0.95596,0.07679,0.1423,0.03419,0.00928,3.21252,2.79605,2.24627,0.006535,0.006535,0.006535
9,14862,3.13382,2.81067,0.95551,0.07513,0.14013,0.03574,0.01086,3.14112,2.78832,2.02513,0.00604,0.00604,0.00604
10,16516.5,3.10689,2.80503,0.95207,0.0778,0.13453,0.03636,0.01066,3.07078,2.75693,1.84353,0.005545,0.005545,0.005545
11,18152.6,2.86028,2.75556,0.95785,0.07918,0.14526,0.03786,0.01146,2.9781,2.7401,1.75661,0.00505,0.00505,0.00505
12,19776.8,2.84538,2.7252,0.95513,0.07807,0.14386,0.03811,0.01156,2.93413,2.72757,1.60998,0.004555,0.004555,0.004555
13,21398.3,2.81436,2.69916,0.95198,0.07915,0.13943,0.03817,0.01156,2.91537,2.71979,1.49332,0.00406,0.00406,0.00406
14,23027.8,2.81498,2.67296,0.9515,0.07983,0.13616,0.03833,0.01163,2.91038,2.71605,1.45004,0.003565,0.003565,0.003565
15,24660.3,2.78669,2.66269,0.94801,0.08003,0.13352,0.03817,0.01166,2.90715,2.71226,1.40814,0.00307,0.00307,0.00307
16,26282.8,2.76654,2.63192,0.94506,0.0832,0.12637,0.03831,0.0117,2.90482,2.70746,1.38146,0.002575,0.002575,0.002575
17,27903.1,2.74321,2.60971,0.93927,0.08371,0.12513,0.03688,0.01084,2.90357,2.70453,1.35716,0.00208,0.00208,0.00208
18,29523.1,2.7262,2.59119,0.93927,0.08324,0.12808,0.03703,0.0109,2.9034,2.70265,1.33902,0.001585,0.001585,0.001585
19,31137.8,2.72464,2.56385,0.93791,0.08131,0.13655,0.03714,0.01098,2.90005,2.7001,1.32072,0.00109,0.00109,0.00109
20,32757.2,2.6951,2.54299,0.935,0.081,0.13927,0.03732,0.01104,2.89755,2.69987,1.30832,0.000595,0.000595,0.000595
